"","x"
"865","AK019709;Tac1"
"866","AK019723"
"867","AK019737"
"868","AK019738"
"869","AK019743"
"870","AK019745"
"871","AK019757"
"872","AK019774"
"873","AK019796"
"874","AK019797"
"875","AK019798"
"876","AK019801"
"877","AK019804"
"878","AK019810"
"879","AK019848"
"880","AK019949;Mirt1"
"881","AK020043"
"882","AK020054"
"883","AK020060;Peli3"
"884","AK020061"
"885","AK020087"
"886","AK020100;AK044750;Gfm2"
"887","AK020101"
"888","AK020109;Slc38a9"
"889","AK020188;Tmeff2"
"890","AK020205;AK033210;AK038610"
"891","AK020216"
"892","AK020239;Klhl2"
"893","AK020256"
"894","AK020320;Mterf1a"
"895","AK020345"
"896","AK020365;Nrxn3"
"897","AK020506"
"898","AK020549;BC037763"
"899","AK020562"
"900","AK020588"
"901","AK020645;Plekha6"
"902","AK020680"
"903","AK020705"
"904","AK020711;Bbip1"
"905","AK020767"
"906","AK020768;Rcsd1"
"907","AK020795"
"908","AK020829"
"909","AK020833;Galc"
"910","AK020853;Hip1"
"911","AK020854"
"912","AK020861"
"913","AK020885;Spata9"
"914","AK020898"
"915","AK020930"
"916","AK020985;Srrm4"
"917","AK020987;Dcaf8"
"918","AK021001"
"919","AK021004"
"920","AK021007"
"921","AK021048;AK043286;AK046742"
"922","AK021128"
"923","AK021191"
"924","AK021261"
"925","AK021280"
"926","AK021307;Klf12"
"927","AK021325"
"928","AK021338"
"929","AK021342"
"930","AK021362;Nxpe4"
"931","AK027935"
"932","AK027968"
"933","AK027991"
"934","AK028033"
"935","AK028088"
"936","AK028089"
"937","AK028094"
"938","AK028111"
"939","AK028130;Magi2"
"940","AK028224"
"941","AK028243"
"942","AK028255;Polr1a"
"943","AK028422"
"944","AK028530;Itih5"
"945","AK028549"
"946","AK028583"
"947","AK028659;AK163016;Nebl"
"948","AK028705;Derl1"
"949","AK028708;Mavs"
"950","AK028711"
"951","AK028782"
"952","AK028798"
"953","AK028852;Tbc1d23"
"954","AK028892;AK153985"
"955","AK028908"
"956","AK028951;AK083498"
"957","AK028959;AK164323;Rnf122"
"958","AK028960;Cenpl"
"959","AK029023;AK133446"
"960","AK029122"
"961","AK029170;Stard9"
"962","AK029192"
"963","AK029258;Nr2c1"
"964","AK029324;Zfp827"
"965","AK029357"
"966","AK029385"
"967","AK029404"
"968","AK029407"
"969","AK029413"
"970","AK029418"
"971","AK029443"
"972","AK029540;Glrx2"
"973","AK029587"
"974","AK029591"
"975","AK029599"
"976","AK029614"
"977","AK029620"
"978","AK029624"
"979","AK029633"
"980","AK029637;Ccdc171"
"981","AK029641"
"982","AK029643"
"983","AK029646"
"984","AK029663"
"985","AK029672;AK133333"
"986","AK029674"
"987","AK029692"
"988","AK029757;Herc6"
"989","AK029760"
"990","AK029768"
"991","AK029815"
"992","AK029834"
"993","AK029875"
"994","AK029934"
"995","AK030005"
"996","AK030063"
"997","AK030136"
"998","AK030154"
"999","AK030200"
"1000","AK030206"
"1001","AK030236"
"1002","AK030263"
"1003","AK030289;Epsti1"
"1004","AK030308;Col20a1"
"1005","AK030357"
"1006","AK030382;Per3"
"1007","AK030443;Slc39a14"
"1008","AK030468;AK045624"
"1009","AK030496;Pdcd11"
"1010","AK030551"
"1011","AK030561"
"1012","AK030597;Cbfa2t2"
"1013","AK030610"
"1014","AK030646"
"1015","AK030697;AK031070;Mtpap"
"1016","AK030770"
"1017","AK030777;Cwc27"
"1018","AK030785;AK041628"
"1019","AK030836"
"1020","AK030906;Usp25"
"1021","AK030979;AK165384;Tmem260"
"1022","AK031024"
"1023","AK031053;AK046278;Mob1b"
"1024","AK031066;Mir7225;Pde4dip"
"1025","AK031165;Cnot3;Mir3572"
"1026","AK031221"
"1027","AK031274;Rsrc1"
"1028","AK031300;Sema3e"
"1029","AK031304;Eif2s3x"
"1030","AK031372"
"1031","AK031383"
"1032","AK031392"
"1033","AK031532"
"1034","AK031574;Mir6996;Notch1"
"1035","AK031662;Fyttd1"
"1036","AK031732"
"1037","AK031816;AK141638;AK165889"
"1038","AK031861"
"1039","AK031862"
"1040","AK031897"
"1041","AK031979;Zfp2"
"1042","AK032000"
"1043","AK032118"
"1044","AK032194"
"1045","AK032255;Atp2c1"
"1046","AK032287"
"1047","AK032382;AK086749;BC086315;Slc25a37"
"1048","AK032387"
"1049","AK032426"
"1050","AK032440"
"1051","AK032489"
"1052","AK032505;Wnk1"
"1053","AK032654;AK082503"
"1054","AK032717"
"1055","AK032761"
"1056","AK032800;Nrde2"
"1057","AK032899"
"1058","AK032919;Trip12"
"1059","AK032987"
"1060","AK033041"
"1061","AK033051"
"1062","AK033058"
"1063","AK033061;AK080657"
"1064","AK033064"
"1065","AK033069;AK083927"
"1066","AK033136;Bcas3os2"
"1067","AK033148"
"1068","AK033180"
"1069","AK033228;Memo1"
"1070","AK033245;BC100492"
"1071","AK033254;Atp7a"
"1072","AK033270;Esr1"
"1073","AK033301"
"1074","AK033307"
"1075","AK033339;Kmt2c"
"1076","AK033378"
"1077","AK033381;Tug1"
"1078","AK033411;Smap1"
"1079","AK033426;AK165802"
"1080","AK033433"
"1081","AK033552;Emc7"
"1082","AK033693;Ptgr2"
"1083","AK033814"
"1084","AK033818;Ptpn13"
