"","BMP4_1ug","BMP4_2ug","NTC"
"Amot",1370,1244,2457
"Amotl1",451,396,434
"Amotl2",1061,777,1530
"Ampd1",0,2,9
"Ampd2",351,197,390
"Ampd3",6,11,9
"Amph",117,93,152
"Amt",9,6,8
"Amtn",0,0,1
"Amy1;Rnpc3",375,271,425
"Amy2a2",0,0,0
"Amy2a4",0,0,0
"Amy2a5",0,0,0
"Amy2b",0,0,0
"Amz1",28,45,18
"Amz2;LOC100503496",453,401,498
"AnMKRN1",6,11,3
"Anapc1",981,747,1320
"Anapc10",229,158,405
"Anapc11",1571,1579,2321
"Anapc13",735,788,1113
"Anapc15",471,419,644
"Anapc2",671,595,864
"Anapc4",654,553,829
"Anapc5",1763,1370,2136
"Anapc7",351,187,474
"Ang2",0,0,0
"Ang3;Ang5",0,0,0
"Ang4",1,0,0
"Ang6",0,0,0
"Ang;Rnase4",56,21,59
"Angel1",29,35,31
"Angel2",477,460,503
"Angpt1",3,2,4
"Angpt2",2,10,2
"Angpt4",0,0,0
"Angptl1",0,0,0
"Angptl2",23,31,43
